IT capacity (MW),Water-intensity scenario,Water intensity (L/kWh),Modeled water demand (MGD),Modeled annual water demand (MG/year),Modeled annual water demand (BG/year),water_system_id,water_system,treatment_capacity_mgd,capacity_status,pct_treatment_capacity
300,Very low water,0.05,0.09510195,34.71221175,0.03471221175,AKR_WATER,City of Akron Water Supply,67.0,available,0.1419432089552239
300,Very low water,0.05,0.09510195,34.71221175,0.03471221175,MVSD,Mahoning Valley Sanitary District (MVSD),60.0,available,0.15850325
300,Very low water,0.05,0.09510195,34.71221175,0.03471221175,ERIE_PERKINS,Erie County Water Division — Perkins District (OH2200603),,not_applicable,
300,Very low water,0.05,0.09510195,34.71221175,0.03471221175,LAKE_BACON,Lake County Department of Utilities — East Sub-District / Bacon Road WTP,9.0,available,1.0566883333333335
300,Very low water,0.05,0.09510195,34.71221175,0.03471221175,PORT_SHALERSVILLE,Portage County Water Resources — Shalersville system,4.0,available,2.3775487500000003
300,Very low water,0.05,0.09510195,34.71221175,0.03471221175,CANTON_WATER,City of Canton Water Department,44.0,available_older_source,0.21614079545454545
300,Low water,0.2,0.3804078,138.848847,0.138848847,CLE_WATER,Cleveland Division of Water / Cleveland Water,540.0,available_source_pending,0.07044588888888889
300,Low water,0.2,0.3804078,138.848847,0.138848847,AKR_WATER,City of Akron Water Supply,67.0,available,0.5677728358208955
300,Low water,0.2,0.3804078,138.848847,0.138848847,MVSD,Mahoning Valley Sanitary District (MVSD),60.0,available,0.634013
300,Low water,0.2,0.3804078,138.848847,0.138848847,ERIE_PERKINS,Erie County Water Division — Perkins District (OH2200603),,not_applicable,
300,Low water,0.2,0.3804078,138.848847,0.138848847,LAKE_BACON,Lake County Department of Utilities — East Sub-District / Bacon Road WTP,9.0,available,4.226753333333334
300,Low water,0.2,0.3804078,138.848847,0.138848847,PORT_SHALERSVILLE,Portage County Water Resources — Shalersville system,4.0,available,9.510195000000001
300,Low water,0.2,0.3804078,138.848847,0.138848847,CANTON_WATER,City of Canton Water Department,44.0,available_older_source,0.8645631818181818
300,Moderate water,0.4,0.7608156,277.697694,0.277697694,CLE_WATER,Cleveland Division of Water / Cleveland Water,540.0,available_source_pending,0.14089177777777778
300,Moderate water,0.4,0.7608156,277.697694,0.277697694,AKR_WATER,City of Akron Water Supply,67.0,available,1.135545671641791
300,Moderate water,0.4,0.7608156,277.697694,0.277697694,MVSD,Mahoning Valley Sanitary District (MVSD),60.0,available,1.268026
300,Moderate water,0.4,0.7608156,277.697694,0.277697694,ERIE_PERKINS,Erie County Water Division — Perkins District (OH2200603),,not_applicable,
300,Moderate water,0.4,0.7608156,277.697694,0.277697694,LAKE_BACON,Lake County Department of Utilities — East Sub-District / Bacon Road WTP,9.0,available,8.453506666666668
300,Moderate water,0.4,0.7608156,277.697694,0.277697694,PORT_SHALERSVILLE,Portage County Water Resources — Shalersville system,4.0,available,19.020390000000003
300,Moderate water,0.4,0.7608156,277.697694,0.277697694,CANTON_WATER,City of Canton Water Department,44.0,available_older_source,1.7291263636363636
300,Water-intensive cooling,1.5,2.8530585,1041.3663525,1.0413663524999999,CLE_WATER,Cleveland Division of Water / Cleveland Water,540.0,available_source_pending,0.5283441666666666
300,Water-intensive cooling,1.5,2.8530585,1041.3663525,1.0413663524999999,AKR_WATER,City of Akron Water Supply,67.0,available,4.258296268656717
300,Water-intensive cooling,1.5,2.8530585,1041.3663525,1.0413663524999999,MVSD,Mahoning Valley Sanitary District (MVSD),60.0,available,4.755097500000001
300,Water-intensive cooling,1.5,2.8530585,1041.3663525,1.0413663524999999,ERIE_PERKINS,Erie County Water Division — Perkins District (OH2200603),,not_applicable,
300,Water-intensive cooling,1.5,2.8530585,1041.3663525,1.0413663524999999,LAKE_BACON,Lake County Department of Utilities — East Sub-District / Bacon Road WTP,9.0,available,31.700649999999996
300,Water-intensive cooling,1.5,2.8530585,1041.3663525,1.0413663524999999,PORT_SHALERSVILLE,Portage County Water Resources — Shalersville system,4.0,available,71.3264625
300,Water-intensive cooling,1.5,2.8530585,1041.3663525,1.0413663524999999,CANTON_WATER,City of Canton Water Department,44.0,available_older_source,6.484223863636364
750,Very low water,0.05,0.237754875,86.780529375,0.086780529375,CLE_WATER,Cleveland Division of Water / Cleveland Water,540.0,available_source_pending,0.044028680555555554
750,Very low water,0.05,0.237754875,86.780529375,0.086780529375,AKR_WATER,City of Akron Water Supply,67.0,available,0.35485802238805975
750,Very low water,0.05,0.237754875,86.780529375,0.086780529375,MVSD,Mahoning Valley Sanitary District (MVSD),60.0,available,0.39625812500000007
750,Very low water,0.05,0.237754875,86.780529375,0.086780529375,ERIE_PERKINS,Erie County Water Division — Perkins District (OH2200603),,not_applicable,
750,Very low water,0.05,0.237754875,86.780529375,0.086780529375,LAKE_BACON,Lake County Department of Utilities — East Sub-District / Bacon Road WTP,9.0,available,2.6417208333333333
750,Very low water,0.05,0.237754875,86.780529375,0.086780529375,PORT_SHALERSVILLE,Portage County Water Resources — Shalersville system,4.0,available,5.943871875
750,Very low water,0.05,0.237754875,86.780529375,0.086780529375,CANTON_WATER,City of Canton Water Department,44.0,available_older_source,0.5403519886363637
750,Low water,0.2,0.9510195,347.1221175,0.3471221175,CLE_WATER,Cleveland Division of Water / Cleveland Water,540.0,available_source_pending,0.17611472222222221
750,Low water,0.2,0.9510195,347.1221175,0.3471221175,AKR_WATER,City of Akron Water Supply,67.0,available,1.419432089552239
750,Low water,0.2,0.9510195,347.1221175,0.3471221175,MVSD,Mahoning Valley Sanitary District (MVSD),60.0,available,1.5850325000000003
750,Low water,0.2,0.9510195,347.1221175,0.3471221175,ERIE_PERKINS,Erie County Water Division — Perkins District (OH2200603),,not_applicable,
750,Low water,0.2,0.9510195,347.1221175,0.3471221175,LAKE_BACON,Lake County Department of Utilities — East Sub-District / Bacon Road WTP,9.0,available,10.566883333333333
